race_name,official_url,reg_start,reg_end,contact
2026 전마협 증평 무료 마라톤,http://mara1080.com/event/48116855-ac2a-4db5-b343-593a01c5b353,2026-06-08,2026-07-29,jangmd@naver.com / 042-638-1080
2026 나이트런 부산,http://www.nightracebusan.co.kr,2026-06-01,2026-07-01,nightracebusan@knn.co.kr / 051-740-4116
나이트런 in 청주,https://n-runplus.co.kr,2026-05-21,2026-08-30,ugo.headoffice@gmail.com / 1666-9975
2026 핑크런,http://www.pinkrun.kr,2026-07-27,2026-08-07,2025pinkrun@gmail.com / 070-4633-1233
2026 서산 코스모스 황금들녘 마라톤 대회,http://mara1080.com/event/fcaa0bc8-1489-47c3-8fec-8e5a5c17284e,2026-03-20,2026-09-03,jangmd@naver.com / 042-638-1080
2026 S오일 감동의 마라톤,http://xn--439ar1m25cg1c810a7ro.com,2026-08-01,2026-08-31,gogokim0126s@gmail.com / 010-2499-6616
2026 울산마라톤대회,http://www.uaf.co.kr,2026-07-27,2026-08-31,uaaf1046@naver.com / 052-286-6605
2026 양산 어필(up-hill) 레이스,http://www.yangsanuphillrace.kr,2026-06-08,2026-07-23,help@sportlink.co.kr / 1522-4897
제20회 순천만울트라마라톤대회,http://www.scultra100.net,2026-04-01,2026-08-24,parkjey1@hanmail.net / 010-9887-0071
제23회 철원DMZ국제평화마라톤,http://dmzrun.kr,2026-02-02,2026-02-27,wizrunsol@naver.com / 031-821-9902
