race_name,official_url,reg_start,reg_end,contact
제11회 김대중 평화 마라톤 대회,http://kdjrun.kr,2026-05-13,2026-08-30,peace@kdjrun.kr / 02-569-5551
제12회 I LOVE 방송대 마라톤,http://runbs.co.kr,2026-06-30,2026-07-31,kul27@hanmail.net / 02-707-2050
제14회 광명시장배건강달리기,http://gmaf.kr,2026-07-20,2026-07-31,gmaf2025@gmail.com / 010-2234-2248
제16회 스마일 런 페스티벌,http://www.smilerun.co.kr,2026-07-01,2026-08-01,smilerun15@naver.com / 02-2632-0912
제1회 테마임도 트레일런,http://korearun01.imweb.me,2026-06-01,2026-06-30,kughwanim@hanmail.net / 010-3878-1159
2026 안양천 달빛 나이트런,http://moonnightrun.kr,2026-06-05,2026-08-06,start@moonnightrun.kr / 02-2606-8187
2026 해양수도 부산 런페스타,http://runfesta.co.kr,2026-07-27,2026-10-16,cwlee@mpress.co.kr / 031-821-9949
2026 쿨밸리트레일레이스,https://rocknrun.kr/coolvalleytrailrace_info,2026-05-11,2026-07-10,info@rocknrun.kr / 063-352-2025
2026 대구세계마스터즈 10km대회,http://www.wmac2026.com,2025-12-23,2026-06-23,registration@wmac2026.com / 053-803-1834
2026 단양달빛레이스,http://danyangmarathon.kr,2026-06-10,2026-07-17,m2569109@naver.com / 1600-3949
