race_name,official_url,reg_start,reg_end,contact
제26회 강화해변마라톤대회,http://www.ganghwamarathon.co.kr,2026-06-08,2026-07-31,isang102@naver.com / 1866-1718
제2회 2026 Vrun,http://vrun.kr/index.asp,2026-05-26,2026-08-12,km4219@daum.net / 1644-4219
제2회 대전 신채호 마라톤,http://www.djmarathon.co.kr,2026-07-10,2026-07-31,center98@naver.com / 042-255-7917
제2회 초록우산 런웨이 마라톤,http://mara1080.com/event/9443583f-6577-466c-ab2f-43d1dbd820d4,2026-04-13,2026-08-01,jangmd@naver.com / 042-638-1080
제2회 경기신문 씨사이드 마라톤,http://kgseasiderun.co.kr,2026-07-13,2026-08-31,enticket@daum.net / 1588-2341
제2회 화이트런 생리대 기부마라톤,http://whiterun.kr,2026-04-27,2026-08-14,k-sopung@naver.com / 02-556-8879
제38회 지리산화대종주 Trail Run,http://www.koreatrail.net/home/main.php?link=event&einc=eapp&opp=20250820150217&csno=20191209143330,2025-12-05,2028-07-31,trail1127@daum.net / 02-424-2195
제5회 구미시장배 금오산트레일 레이스,http://cafe.naver.com/gumitrailrunnerclub,2026-06-01,2026-07-31,aa6546@gyo6.net / 010-3504-1206
희망드림 제23회 새벽강변 국제마라톤,http://amarunsb.com,2026-05-12,2026-06-30,yck0423@hanmail.net / 02-2647-4488
제주풍차런,http://jejuwindmillrun.com,2026-07-08,2026-09-04,jejuwindmillrun@gmail.com / 010-4281-4624
2026 대구세계마스터즈 하프마라톤대회,http://www.wmac2026.com,2025-12-23,2026-06-23,registration@wmac2026.com / 053-803-1834
2026 하반기 JUST RUN10 세종,http://runten.co.kr,2026-06-19,2026-07-15,runningbreaker@naver.com / 042-710-2058
런센스 2026,http://www.runsense.co.kr,2026-07-08,2026-08-27,run@runandrun3.com / 070-7706-1011
사우나런 in 뚝섬한강공원,https://saunarun.com/products/e5d5rnduj37y,2026-07-06,2026-08-31,26mile.business@gmail.com / 070-4571-8805
사우나런 in 올림픽공원,http://saunarun.com/category/?idx=119,2026-06-12,2026-07-31,26mile.business@gmail.com / 070-4571-8805
사우나런 in 석촌호수,https://saunarun.com/products/jsnpdf6bf8uc,2026-06-01,2026-07-31,26mile.business@gmail.com / 070-4571-8805
순천만국가정원 챌린지가든런,http://projectruntrip.com,2026-07-09,2026-07-17,o2notion@gmail.com / 070-5088-1180
영남알프스9봉 트레일 레이스,http://jyd.creatorlink.net,2026-04-01,2026-07-15,765kw@hanmail.net / 010-4539-6887
